"","sentiment","sentiment_confidence","text","sentiment_numeric","hasEmoji","hasEmoticon","hasUrl","hasMention","hasHashtag"
"1","positive",1,"@JetBlue incredible PR team  👏👏👏👏",1,TRUE,FALSE,FALSE,TRUE,FALSE
"2","neutral",1,"@SouthwestAir can you please DM me  I have a question for you :) ",0,FALSE,TRUE,FALSE,TRUE,FALSE
"3","neutral",0.6733,"@SouthwestAir how oh how do we get tickets   ",0,FALSE,FALSE,FALSE,TRUE,FALSE
"4","negative",1,"@united and now your rep just hung up on me after over 35 mins on hold because I asked for a supervisor  I'm furious right now ",-1,FALSE,FALSE,FALSE,TRUE,FALSE
"5","negative",1,"@AmericanAir our flight was Cancelled Flightled and rebooked to United  You didn't give them accurate ticket number now we can't check in  #annoyed",-1,FALSE,FALSE,FALSE,TRUE,TRUE
"6","neutral",0.669,"@SouthwestAir @travelportland welcome to Portland  Sun  Mt hood and Southwest  ",0,FALSE,FALSE,TRUE,TRUE,FALSE
"7","positive",0.6701,"@VirginAmerica I m looking forward to watching the Oscars on my flight home tomorrow  I might even get something bubbly to drink  ;) ",1,FALSE,TRUE,FALSE,TRUE,FALSE
"8","positive",0.3586,"@united Just sent  Thanks :) ",1,FALSE,TRUE,FALSE,TRUE,FALSE
"9","negative",1,"@USAirways I tried to call your customer service line only to be kept in a que for over 45 mins  please hold =we don't care",-1,FALSE,FALSE,FALSE,TRUE,FALSE
"10","positive",0.656,"@united Hubby made it by the skin of his teeth  :) ",1,FALSE,TRUE,FALSE,TRUE,FALSE
"11","neutral",0.6809,"@USAirways I think it's ok ",0,FALSE,FALSE,FALSE,TRUE,FALSE
"12","neutral",1," @JetBlue  Our fleet's on fleek  C'mon fam😭😭 just  No  Ok ",0,TRUE,FALSE,TRUE,TRUE,FALSE
"13","negative",1,"@USAirways #stuck in Florida with no flights  Service sucks here  #nofood #nodrinks #nohelp",-1,FALSE,FALSE,FALSE,TRUE,TRUE
"14","negative",1,"@AmericanAir that luggage you forgot #mia he just won an oscar😄💝💝💝",-1,TRUE,FALSE,FALSE,TRUE,TRUE
"15","negative",1,"@united it's like you're trying to make me hate your airline  Fee for each checked bag that's never mentioned in the ticket + rude agents 👿",-1,TRUE,FALSE,FALSE,TRUE,FALSE
"16","positive",1,"@AmericanAir thank you ",1,FALSE,FALSE,FALSE,TRUE,FALSE
"17","negative",0.6801,"@VirginAmerica I'm pulling my hair out trying to book a flight with u  Your site doesn't work on iPhone or ",-1,FALSE,FALSE,TRUE,TRUE,TRUE
"18","negative",0.6406," @JetBlue  Our fleet's on fleek  ",-1,TRUE,FALSE,TRUE,TRUE,TRUE
"19","positive",1,"@SouthwestAir Scott is the best  Thank yo from the bottom of my heart💕#DestinationDragons with friends in LA @HayleyMad see u Friday",1,TRUE,FALSE,FALSE,TRUE,TRUE
"20","positive",1,"@AmericanAir Such a suprise  New vanity kit set for frequent travellers 😀 thank you AA  ",1,TRUE,FALSE,TRUE,TRUE,FALSE
"21","neutral",1,"@SouthwestAir  Wife's RR pts expired a few days ago  were planning on Flight Booking Problems trip today  Anything you can do for us  On a tight budget ",0,FALSE,FALSE,FALSE,TRUE,FALSE
"22","negative",1,"@AmericanAir My flight to @dfwairport was Cancelled Flightled  Mess ensued  Please thank the awesome Marcos  Concierge Key @ GRU  for sorting it out ",-1,FALSE,FALSE,FALSE,TRUE,FALSE
"23","positive",1,"@JetBlue Amazingly Awesome customer service from your reservation agents tonight  Helping correct a mistake  I so love this airline  :) ",1,FALSE,TRUE,FALSE,TRUE,FALSE
"24","neutral",1,"@SouthwestAir give me tickets to atlanta  I would do anything  Anything 😆",0,TRUE,FALSE,FALSE,TRUE,FALSE
"25","negative",0.6374,"@SouthwestAir Logically you would think you check all that before you have people board  I could've drove home in the time I've been waiting",-1,FALSE,FALSE,FALSE,TRUE,FALSE
"26","negative",1,"@VirginAmerica I can't check in or add a bag  Your website isn't working  I've tried both desktop and mobile ",-1,FALSE,FALSE,TRUE,TRUE,FALSE
"27","positive",1,"@united ok  have sent u info via DM  I appreciate your help and consideration  😊",1,TRUE,FALSE,FALSE,TRUE,FALSE
"28","neutral",1,"@VirginAmerica @AmericanAir can u help with flights to get a 2y old battling cancer who needs treatment in 🇺🇸 @FreyaBevan Fund 💗 🎀 💗",0,TRUE,FALSE,FALSE,TRUE,FALSE
"29","neutral",1,"@SouthwestAir any official word whether flight 3403 from BWI to Manchester is Cancelled Flightled  I've got an 8hr drive in snow if it is 😢",0,TRUE,FALSE,FALSE,TRUE,FALSE
"30","neutral",0.7034,"@united yes I've boarded this way many times  amp  have never had to show my pass on the Tarmac multiple times  Path was railed off  Only 1 way",0,FALSE,FALSE,FALSE,TRUE,FALSE
"31","positive",0.7068,"@AmericanAir  have you seen Blue  Go look it up :) ",1,FALSE,TRUE,FALSE,TRUE,FALSE
"32","negative",1,"@SouthwestAir IND website says contact airline for flight 899 tomorrow to ATL  On hold for over an hour  Can you give me any more info ",-1,FALSE,FALSE,FALSE,TRUE,FALSE
"33","negative",1,"@AmericanAir usually raving about the service to LAX  Your nbr1 and helper can't figure out how to hang a coat and serve a drink  6F",-1,FALSE,FALSE,FALSE,TRUE,FALSE
"34","neutral",1,"Really   😑 @JetBlue  Our fleet's on fleek  ",0,TRUE,FALSE,TRUE,TRUE,FALSE
"35","negative",1,"@united strikes again  Why board anyone if there's something wrong with the plane  Common sense ",-1,FALSE,FALSE,FALSE,TRUE,FALSE
